lat,lon,pr,tasmin,tasmax
48.208333045,-66.958336295,4.283785782696614e-13,-12.025202930201521,-4.015129768685054
48.124999715,-69.291669535,4.516091005931505e-13,-8.384130707353949,-2.3110492081763256
48.124999715,-69.208336205,4.578531564297661e-13,-8.799722444646225,-2.521524181083456
48.124999715,-69.125002875,4.472249393733252e-13,-9.639080531460591,-2.9816533293880205
48.124999715,-69.041669545,4.954964390180283e-13,-10.52439684640851,-3.636294297449992
48.124999715,-68.958336215,5.494444959772138e-13,-11.593915513724934,-4.523787547412822
48.124999715,-68.875002885,4.726087143164248e-13,-11.880525810420218,-4.698840779217859
48.124999715,-68.791669555,5.122309911301248e-13,-11.61997569254356,-4.440711720958748
48.124999715,-68.708336225,4.562376409826541e-13,-11.014734217833443,-3.7509942849611644
48.124999715,-68.625002895,4.77000763107055e-13,-11.309213113711682,-3.9672801041522163
48.124999715,-68.541669565,5.449680962575643e-13,-11.183574189889182,-3.6580674364914127
48.124999715,-68.458336235,4.730544840396422e-13,-11.265745415714782,-3.632145679811572
48.124999715,-68.375002905,5.158952692124741e-13,-11.581396642860849,-3.8562813317219735
48.124999715,-68.291669575,4.618331541847431e-13,-11.64254777095849,-3.9553698470098277
48.124999715,-68.208336245,5.179826294450518e-13,-11.887823122308511,-4.1094092613004305
48.124999715,-68.125002915,5.121658305795584e-13,-12.055985500798611,-4.159964871762989
48.124999715,-68.041669585,5.288422152451011e-13,-12.18388250267606,-4.205955528424906
48.124999715,-67.958336255,5.002844926521588e-13,-12.276632885852173,-4.1401992109246075
48.124999715,-67.875002925,4.944724100661158e-13,-12.390408602680585,-4.219272200110968
48.124999715,-67.791669595,4.887839265277361e-13,-12.482277569960162,-4.248859173352321
48.124999715,-67.708336265,5.445881376062167e-13,-12.215871601517586,-4.014494253672162
48.124999715,-67.291669615,5.05445403413407e-13,-11.989808779432856,-4.035833755536083
48.124999715,-67.208336285,4.371786949380202e-13,-11.851065163953008,-3.9228399862702075
48.124999715,-67.125002955,4.3394259539863977e-13,-11.565788437040135,-3.4909117365176145
48.124999715,-67.041669625,4.4864714157308305e-13,-11.786079282330531,-3.789534776300071
48.124999715,-66.958336295,4.787792341406916e-13,-12.020927197522916,-4.010970322437241
48.041666385,-69.458336195,4.333740397793884e-13,-15.185440265978421,-2.9465790250088757
48.041666385,-69.375002865,4.4627395854278384e-13,-8.393329044751432,-2.2538112200016114
48.041666385,-69.291669535,4.308180602628081e-13,-8.755698947463884,-2.4973303157722526
48.041666385,-69.208336205,4.885267537724225e-13,-9.877832011802774,-3.1423661710893933
48.041666385,-69.125002875,3.966370688921611e-13,-10.148353088390499,-3.2423719663778137
48.041666385,-69.041669545,4.916677958863302e-13,-10.609646056545172,-3.4973019064671895
48.041666385,-68.958336215,4.573139284792804e-13,-11.235327111293023,-4.067579091907209
48.041666385,-68.875002885,4.669312896402045e-13,-11.448671332053516,-4.229427200592817
48.041666385,-68.791669555,4.906308107184565e-13,-11.650610485774376,-4.3962923696750495
48.041666385,-68.708336225,4.2772765039035543e-13,-11.307876168090159,-3.9579872014265245
48.041666385,-68.625002895,4.998633885283654e-13,-11.135020503371948,-3.76002604974449
48.041666385,-68.541669565,5.29062687756876e-13,-11.59162245583878,-3.9173383335575656
48.041666385,-68.458336235,4.3144659936725227e-13,-11.482731023490505,-3.801664579748606
